Date,Actual,Predicted,Error,Error_%
2023-11-16,187.7594757080078,184.48834,-3.2711334228515625,-1.7421935220668336
2023-11-17,187.7396697998047,185.80986,-1.9298095703125,-1.0279178462230936
2023-11-20,189.48155212402344,186.98788,-2.4936676025390625,-1.3160476967735915
2023-11-21,188.67990112304688,188.22702,-0.452880859375,-0.24002602114978608
2023-11-22,189.343017578125,189.11374,-0.229278564453125,-0.12109163959981896
2023-11-24,188.0167999267578,189.93669,1.919891357421875,1.0211275578404542
2023-11-27,187.83863830566406,190.23674,2.398101806640625,1.2766818521854206
2023-11-28,188.4423370361328,190.30896,1.8666229248046875,0.9905539032063546
2023-11-29,187.4229736328125,190.42993,3.0069580078125,1.604370024404557
2023-11-30,187.9969940185547,190.25076,2.2537689208984375,1.1988324242439738
2023-12-01,189.2737274169922,190.13799,0.8642578125,0.4566179491968998
2023-12-04,187.48231506347656,190.33615,2.8538360595703125,1.5221894708330643
2023-12-05,191.4313201904297,190.00261,-1.4287109375,-0.7463308177986573
2023-12-06,190.34262084960938,190.35341,0.0107879638671875,0.005667655420018159
2023-12-07,192.27256774902344,190.61562,-1.656951904296875,-0.8617723909838879
2023-12-08,193.69778442382812,191.23381,-2.4639739990234375,-1.2720713385301514
2023-12-11,191.1938018798828,192.11952,0.92572021484375,0.48417898788650704
2023-12-12,192.7080841064453,192.19923,-0.50885009765625,-0.26405228406255066
2023-12-13,195.9246368408203,192.37997,-3.5446624755859375,-1.8091969099658516
2023-12-14,196.07310485839844,193.06223,-3.0108795166015625,-1.5355902681175893
2023-12-15,195.5386505126953,193.89195,-1.646697998046875,-0.8421342756172716
2023-12-18,193.8759307861328,194.42152,0.54559326171875,0.2814136130805228
2023-12-19,194.9151153564453,194.38763,-0.5274810791015625,-0.27062092036163893
2023-12-20,192.8268280029297,194.47969,1.652862548828125,0.8571745778046054
2023-12-21,192.6783447265625,194.02365,1.345306396484375,0.6982135944719438
2023-12-22,191.6094512939453,193.51314,1.9036865234375,0.9935243332632281
2023-12-26,191.06512451171875,192.79297,1.72784423828125,0.9043221481140975
2023-12-27,191.1641082763672,192.01987,0.8557586669921875,0.44765655786964553
2023-12-28,191.5896453857422,191.35701,-0.232635498046875,-0.1214238366475871
2023-12-29,190.5504608154297,191.02191,0.4714508056640625,0.2474152010163426
2024-01-02,183.73129272460938,190.5353,6.8040008544921875,3.7032346279142274
2024-01-03,182.35557556152344,188.4199,6.0643310546875,3.3255528579335953
2024-01-04,180.03965759277344,185.94395,5.904296875,3.2794424039367818
2024-01-05,179.31716918945312,183.25787,3.940704345703125,2.1976168615174108
2024-01-08,183.65213012695312,180.79263,-2.8594970703125,-1.5570181888638137
2024-01-09,183.2364501953125,179.94069,-3.2957611083984375,-1.7986383740164535
2024-01-10,184.27566528320312,179.64821,-4.6274566650390625,-2.511159928755313
2024-01-11,183.68182373046875,179.91766,-3.76416015625,-2.0492828739404603
2024-01-12,184.00840759277344,180.24988,-3.7585296630859375,-2.0425858319495322
2024-01-16,181.74197387695312,180.68645,-1.0555267333984375,-0.5807831349477216
2024-01-17,180.80172729492188,180.52733,-0.2743988037109375,-0.15176779990787426
2024-01-18,186.69056701660156,180.01941,-6.6711578369140625,-3.573377028910532
2024-01-19,189.59042358398438,180.8804,-8.71002197265625,-4.594125487988006
2024-01-22,191.896484375,182.53618,-9.360305786132812,-4.877789093749682
2024-01-23,193.1732177734375,184.67793,-8.495285034179688,-4.397755098816726
2024-01-24,192.5001983642578,186.94449,-5.5557098388671875,-2.8860800591770897
2024-01-25,192.17361450195312,188.78555,-3.3880615234375,-1.763021178645243
2024-01-26,190.44158935546875,190.14583,-0.2957611083984375,-0.15530279357540153
2024-01-29,189.7586669921875,190.71187,0.9532012939453125,0.5023229289361294
2024-01-30,186.10662841796875,190.72173,4.6150970458984375,2.4798133656656187
2024-01-31,182.5040740966797,189.72302,7.2189483642578125,3.9554998429424915
2024-02-01,184.93875122070312,187.87488,2.936126708984375,1.5876211392173
2024-02-02,183.9391632080078,186.4701,2.5309295654296875,1.3759601388245868
2024-02-05,185.75033569335938,185.0223,-0.7280426025390625,-0.39194685695800346
2024-02-06,187.3536834716797,184.29349,-3.0601959228515625,-1.6333791074431374
2024-02-07,187.46255493164062,184.25652,-3.2060394287109375,-1.7102292401168007
2024-02-08,186.38372802734375,184.55151,-1.83221435546875,-0.9830334304719733
2024-02-09,187.1468048095703,184.73807,-2.4087371826171875,-1.2870843213530567
2024-02-12,185.46212768554688,185.07977,-0.382354736328125,-0.20616324265211264
2024-02-13,183.37115478515625,185.05435,1.683197021484375,0.9179181008356874
2024-02-14,182.48916625976562,184.45616,1.9669952392578125,1.0778695960821465
2024-02-15,182.20179748535156,183.58171,1.379913330078125,0.7573543999691142
2024-02-16,180.66580200195312,182.6168,1.9510040283203125,1.0798966969405868
2024-02-20,179.92254638671875,181.49527,1.572723388671875,0.8741113441622388
2024-02-21,180.6757049560547,180.3165,-0.3592071533203125,-0.19881320148034382
2024-02-22,182.7072296142578,179.53636,-3.170867919921875,-1.7354912154359718
2024-02-23,180.87388610839844,179.5745,-1.2993927001953125,-0.7183970711043282
2024-02-26,179.5261688232422,179.50607,-0.0200958251953125,-0.01119381387517852
2024-02-27,180.98291015625,179.1686,-1.8143157958984375,-1.0024790707211326
2024-02-28,179.7838134765625,179.161,-0.6228179931640625,-0.34642606646301677
2024-02-29,179.11984252929688,178.97643,-0.1434173583984375,-0.08006782295768272
2024-03-01,178.03970336914062,178.4542,0.41448974609375,0.23280747959592082
2024-03-04,173.5208282470703,177.67375,4.152923583984375,2.3933285853564334
2024-03-05,168.5857391357422,176.09967,7.5139312744140625,4.457038485541165
2024-03-06,167.59474182128906,173.78493,6.190185546875,3.693544009558347
2024-03-07,167.47579956054688,171.41534,3.939544677734375,2.352306833627104
2024-03-08,169.190185546875,169.259,0.068817138671875,0.0406744270948322
2024-03-11,171.19200134277344,167.9667,-3.2252960205078125,-1.884022615081112
2024-03-12,171.66766357421875,167.71559,-3.9520721435546875,-2.302164578506103
2024-03-13,169.5866241455078,167.94382,-1.6428070068359375,-0.9687126063824378
2024-03-14,171.43975830078125,168.00136,-3.4384002685546875,-2.0056026108729172
2024-03-15,171.0631866455078,168.46219,-2.6009979248046875,-1.520489578038029
2024-03-18,172.15325927734375,168.71262,-3.440643310546875,-1.9985931866697348
2024-03-19,174.49197387695312,169.25989,-5.232086181640625,-2.9984681045158825
2024-03-20,177.05862426757812,170.3597,-6.6989288330078125,-3.783452436004541
2024-03-21,169.82444763183594,172.0132,2.188751220703125,1.2888316442212961
2024-03-22,170.7262420654297,172.23804,1.5117950439453125,0.8855083001041675
2024-03-25,169.30914306640625,172.11778,2.8086395263671875,1.6588823707326814
2024-03-26,168.17947387695312,171.58827,3.4087982177734375,2.0268812472724536
2024-03-27,171.74693298339844,170.78203,-0.96490478515625,-0.5618177678023051
2024-03-28,169.9334716796875,170.69849,0.7650146484375,0.45018479342286266
2024-04-01,168.4965362548828,170.50235,2.0058135986328125,1.1904182977379671
2024-04-02,167.31727600097656,170.11224,2.7949676513671875,1.6704596908157139
2024-04-03,168.1199493408203,169.49088,1.3709259033203125,0.8154451085047081
2024-04-04,167.29745483398438,169.04732,1.7498626708984375,1.045958931434368
2024-04-05,168.05059814453125,168.58675,0.5361480712890625,0.31903966853361065
2024-04-08,166.9307861328125,168.36237,1.43157958984375,0.8575887186589807
2024-04-09,168.1397705078125,168.03337,-0.1063995361328125,-0.06328040998953827
2024-04-10,166.26683044433594,168.01176,1.74493408203125,1.0494781655294934
2024-04-11,173.46133422851562,167.71219,-5.7491455078125,-3.3143671662519627
2024-04-12,174.95774841308594,168.75233,-6.205413818359375,-3.546807086078871
2024-04-15,171.132568359375,170.27928,-0.8532867431640625,-0.4986115450404375
2024-04-16,167.85240173339844,171.1232,3.2707977294921875,1.948615388111769
2024-04-17,166.48486328125,171.09717,4.6123046875,2.77040482635844
2024-04-18,165.5334930419922,170.55879,5.025299072265625,3.0358201110338543
2024-04-19,163.51190185546875,169.7209,6.2089996337890625,3.797276873017668
2024-04-22,164.34431457519528,168.50032,4.156005859375028,2.5288406660842893
2024-04-23,165.39474487304688,167.49174,2.0970001220703125,1.2678759072302572
2024-04-24,167.4956512451172,166.85854,-0.637115478515625,-0.38037732548844194
2024-04-25,168.35780334472656,166.85956,-1.4982452392578125,-0.8899173127069324
2024-04-26,167.77313232421875,167.257,-0.5161285400390625,-0.30763479997598947
2024-04-29,171.93524169921875,167.66762,-4.2676239013671875,-2.482111206051004
2024-04-30,168.79385375976562,168.8487,0.054840087890625,0.03248938670994246
2024-05-01,167.77313232421875,169.49892,1.7257843017578125,1.0286416411554882
2024-05-02,171.46946716308594,169.73007,-1.7393951416015625,-1.0144051710076234
2024-05-03,181.72613525390625,170.3369,-11.389236450195312,-6.26725288263153
2024-05-06,180.0712127685547,172.31065,-7.76055908203125,-4.309716674150402
2024-05-07,180.7549591064453,174.24226,-6.5126953125,-3.6030520792874734
2024-05-08,181.09190368652344,176.09737,-4.994537353515625,-2.758012507373796
2024-05-09,182.90541076660156,177.77019,-5.135223388671875,-2.807584186355609
2024-05-10,181.6451416015625,179.38425,-2.260894775390625,-1.244676711667788
2024-05-13,184.85035705566406,180.53581,-4.314544677734375,-2.3340743001297715
2024-05-14,185.9915313720703,181.77742,-4.214111328125,-2.2657544120623427
2024-05-15,188.26397705078125,183.06116,-5.20281982421875,-2.763576923064454
2024-05-16,188.38304138183594,184.45488,-3.92816162109375,-2.0851991730676596
2024-05-17,188.41282653808594,185.80449,-2.60833740234375,-1.384373585530016
2024-05-20,189.57382202148438,187.02354,-2.5502777099609375,-1.3452689209757638
2024-05-21,190.87379455566406,188.20587,-2.6679229736328125,-1.3977418848111036
2024-05-22,189.43490600585938,189.41528,-0.019622802734375,-0.01035859924029421
2024-05-23,185.4457550048828,190.12692,4.6811676025390625,2.524278650873301
2024-05-24,188.52195739746094,189.63266,1.1107025146484375,0.5891634746326885
2024-05-28,188.5319061279297,189.36597,0.8340606689453125,0.4423976217475649
2024-05-29,188.82958984375,189.22952,0.399932861328125,0.21179565218515578
2024-05-30,189.82191467285156,189.24324,-0.57867431640625,-0.30485116399946016
2024-05-31,190.77456665039062,189.5184,-1.25616455078125,-0.658454936020518
2024-06-03,192.54087829589844,189.97192,-2.5689544677734375,-1.334238469518897
2024-06-04,192.85842895507812,190.7831,-2.0753326416015625,-1.0760912306741661
2024-06-05,194.3667755126953,191.70367,-2.6631011962890625,-1.3701421908473852
2024-06-06,192.98739624023438,192.8078,-0.179595947265625,-0.09306097225233328
