,loss,val_loss
0,0.007002540398389101,0.006533664185553789
1,0.0009882670128718019,0.005405567120760679
2,0.0008916561491787434,0.003277901094406843
3,0.0007716889958828688,0.0037779652047902346
4,0.0006800077389925718,0.004022697452455759
5,0.0007064916426315904,0.0032662742305547
6,0.0006540957256220281,0.003223334439098835
7,0.0006209773127920926,0.0021172971464693546
8,0.0006100875907577574,0.006199239753186703
9,0.0005177808925509453,0.003790299640968442
10,0.0005352783482521772,0.005467780865728855
11,0.0005169232026673853,0.006396085489541292
12,0.00047527224523946643,0.002660220954567194
13,0.000454695284133777,0.0016383196925744414
14,0.0004654499643947929,0.007641048636287451
15,0.0006263650138862431,0.004438554868102074
16,0.0005108361947350204,0.0018337341025471687
17,0.0004796900611836463,0.0019552609883248806
18,0.0004455129965208471,0.004991175606846809
19,0.00043376904795877635,0.004293289966881275
20,0.00040448791696690023,0.0013665055157616735
21,0.00040813584928400815,0.002166149904951453
22,0.0003911079838871956,0.005459239706397057
23,0.0003883372410200536,0.0030553811229765415
24,0.00038804454379715025,0.0028763252776116133
25,0.0003890622465405613,0.003169107949361205
26,0.0003235334297642112,0.0021949054207652807
27,0.00048462115228176117,0.0043044681660830975
28,0.0003505545319058001,0.0030800034292042255
29,0.0003686949494294822,0.004034582991153002
30,0.00037685869028791785,0.0028613130562007427
